Cat Course,Subj Code,Crse Numb,Csta Code,Long Course Title,Coll Code,Coll Desc,Dept Desc,Cat Preq Term Code Eff,Cat Preq Seqno,Cat Preq Connector,Cat Preq Conn Desc,Cat Preq Lparen,Cat Preq Course,Cat Preq Subj Code,Cat Preq Crse Numb,Cat Preq Levl Code,Cat Preq Min Grde,Preq,Cat Preq Concurrency Ind,Cat Preq Rparen,Cat Preq Tesc Code,Cat Preq Test Score
FREN 101,FREN,101,A,French I,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
FREN 102,FREN,102,A,French II,AS,Arts and Sciences,Global Studies & Modern Langs,201415,1,,,,FREN 101,FREN,101,UG,C,1,,,,
FREN 103,FREN,103,A,French III,AS,Arts and Sciences,Global Studies & Modern Langs,201415,1,,,,FREN 102,FREN,102,UG,C,1,,,,
FREN 201,FREN,201,A,French IV,AS,Arts and Sciences,Global Studies & Modern Langs,201415,1,,,,FREN 103,FREN,103,UG,C,1,,,,
FREN 202,FREN,202,A,French V,AS,Arts and Sciences,Global Studies & Modern Langs,201415,1,,,,FREN 201,FREN,201,UG,C,1,,,,
FREN 310,FREN,310,A,Advanced Writing and Speaking,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,FREN 202,FREN,202,UG,C,1,,,,
FREN 320,FREN,320,A,Introduction to Language for the Professions,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,FREN 310,FREN,310,UG,C,1,,,,
FREN 330,FREN,330,A,Introduction to Identities and Communities,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,FREN 310,FREN,310,UG,C,1,,,,
FREN 340,FREN,340,A,Introduction to Power and Resistance,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,FREN 310,FREN,310,UG,C,1,,,,
FREN 350,FREN,350,A,"Introduction to Language, Media, and Society",AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,FREN 310,FREN,310,UG,C,1,,,,
FREN 410,FREN,410,A,Advanced Grammar and Translation,AS,Arts and Sciences,Global Studies & Modern Langs,201615,5,O,Or,,FREN 350,FREN,350,UG,C,1,,),,
FREN 410,FREN,410,A,Advanced Grammar and Translation,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,FREN 310,FREN,310,UG,C,1,,,,
FREN 410,FREN,410,A,Advanced Grammar and Translation,AS,Arts and Sciences,Global Studies & Modern Langs,201615,2,A,And,(,FREN 320,FREN,320,UG,C,1,,,,
FREN 410,FREN,410,A,Advanced Grammar and Translation,AS,Arts and Sciences,Global Studies & Modern Langs,201615,3,O,Or,,FREN 330,FREN,330,UG,C,1,,,,
FREN 410,FREN,410,A,Advanced Grammar and Translation,AS,Arts and Sciences,Global Studies & Modern Langs,201615,4,O,Or,,FREN 340,FREN,340,UG,C,1,,,,
FREN 420,FREN,420,A,Advanced Studies in Language for the Professions,AS,Arts and Sciences,Global Studies & Modern Langs,201615,3,O,Or,,FREN 330,FREN,330,UG,C,1,,,,
FREN 420,FREN,420,A,Advanced Studies in Language for the Professions,AS,Arts and Sciences,Global Studies & Modern Langs,201615,2,A,And,(,FREN 320,FREN,320,UG,C,1,,,,
FREN 420,FREN,420,A,Advanced Studies in Language for the Professions,AS,Arts and Sciences,Global Studies & Modern Langs,201615,4,O,Or,,FREN 340,FREN,340,UG,C,1,,,,
FREN 420,FREN,420,A,Advanced Studies in Language for the Professions,AS,Arts and Sciences,Global Studies & Modern Langs,201615,5,O,Or,,FREN 350,FREN,350,UG,C,1,,),,
FREN 420,FREN,420,A,Advanced Studies in Language for the Professions,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,FREN 310,FREN,310,UG,C,1,,,,
FREN 430,FREN,430,A,Advanced Studies in Identities and Communities,AS,Arts and Sciences,Global Studies & Modern Langs,201615,2,A,And,(,FREN 320,FREN,320,UG,C,1,,,,
FREN 430,FREN,430,A,Advanced Studies in Identities and Communities,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,FREN 310,FREN,310,UG,C,1,,,,
FREN 430,FREN,430,A,Advanced Studies in Identities and Communities,AS,Arts and Sciences,Global Studies & Modern Langs,201615,3,O,Or,,FREN 330,FREN,330,UG,C,1,,,,
FREN 430,FREN,430,A,Advanced Studies in Identities and Communities,AS,Arts and Sciences,Global Studies & Modern Langs,201615,5,O,Or,,FREN 350,FREN,350,UG,C,1,,),,
FREN 430,FREN,430,A,Advanced Studies in Identities and Communities,AS,Arts and Sciences,Global Studies & Modern Langs,201615,4,O,Or,,FREN 340,FREN,340,UG,C,1,,,,
FREN 440,FREN,440,A,Advanced Studies in Power and Resistance,AS,Arts and Sciences,Global Studies & Modern Langs,201615,2,A,And,(,FREN 320,FREN,320,UG,C,1,,,,
FREN 440,FREN,440,A,Advanced Studies in Power and Resistance,AS,Arts and Sciences,Global Studies & Modern Langs,201615,4,O,Or,,FREN 340,FREN,340,UG,C,1,,,,
FREN 440,FREN,440,A,Advanced Studies in Power and Resistance,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,FREN 310,FREN,310,UG,C,1,,,,
FREN 440,FREN,440,A,Advanced Studies in Power and Resistance,AS,Arts and Sciences,Global Studies & Modern Langs,201615,3,O,Or,,FREN 330,FREN,330,UG,C,1,,,,
FREN 440,FREN,440,A,Advanced Studies in Power and Resistance,AS,Arts and Sciences,Global Studies & Modern Langs,201615,5,O,Or,,FREN 350,FREN,350,UG,C,1,,),,
FREN 450,FREN,450,A,"Advanced Studies in Language, Media, and Society",AS,Arts and Sciences,Global Studies & Modern Langs,201615,3,O,Or,,FREN 330,FREN,330,UG,C,1,,,,
FREN 450,FREN,450,A,"Advanced Studies in Language, Media, and Society",AS,Arts and Sciences,Global Studies & Modern Langs,201615,5,O,Or,,FREN 350,FREN,350,UG,C,1,,),,
FREN 450,FREN,450,A,"Advanced Studies in Language, Media, and Society",AS,Arts and Sciences,Global Studies & Modern Langs,201615,4,O,Or,,FREN 340,FREN,340,UG,C,1,,,,
FREN 450,FREN,450,A,"Advanced Studies in Language, Media, and Society",AS,Arts and Sciences,Global Studies & Modern Langs,201615,2,A,And,(,FREN 320,FREN,320,UG,C,1,,,,
FREN 450,FREN,450,A,"Advanced Studies in Language, Media, and Society",AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,FREN 310,FREN,310,UG,C,1,,,,
FREN 480,FREN,480,A,French Minor Thesis Course,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
FREN I199,FREN,I199,A,Independent Study in FREN,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
FREN I299,FREN,I299,A,Independent Study in FREN,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
FREN I399,FREN,I399,A,Independent Study in FREN,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
FREN I499,FREN,I499,A,Independent Study in FREN,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
FREN T180,FREN,T180,A,Special Topics in French,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
FREN T280,FREN,T280,A,Special Topics in French,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
FREN T380,FREN,T380,A,Special Topics in French,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
FREN T480,FREN,T480,A,Special Topics in French,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
FYE 102,FYE,102,A,Academic Exploration and Planning,GC,Goodwin Coll of Prof Studies,Evening and Professional Studi,,,,,, ,,,,,1,,,,
FYE 103,FYE,103,A,Career Exploration and Planning,GC,Goodwin Coll of Prof Studies,Evening and Professional Studi,,,,,, ,,,,,1,,,,
GEO 101,GEO,101,A,Physical Geology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO 102,GEO,102,A,History of the Earth,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO 103,GEO,103,A,Introduction to Field Methods in Earth Science,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO 111,GEO,111,A,Natural Disasters,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO 201,GEO,201,A,Earth Systems Processes,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO 205,GEO,205,A,Dinosaurs and Their World,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO 207,GEO,207,A,Introduction to Oceanography,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO 215,GEO,215,A,Mineralogy,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201515,1,,,,CHEM 101,CHEM,101,UG,D,1,,,,
GEO 301,GEO,301,A,Advanced Field Methods in Earth Science,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,2,,,(,GEO 101,GEO,101,UG,D,1,,,,
GEO 301,GEO,301,A,Advanced Field Methods in Earth Science,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,3,O,Or,,CAEE 212,CAEE,212,UG,D,1,,),,
GEO 301,GEO,301,A,Advanced Field Methods in Earth Science,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,4,A,And,,GEO 103,GEO,103,UG,D,1,,,,
GEO 306,GEO,306,A,Environmental Geology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,1,,,,GEO 101,GEO,101,UG,D,1,,,,
GEO 306,GEO,306,A,Environmental Geology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,2,O,Or,,CAEE 212,CAEE,212,UG,D,1,,,,
GEO 309,GEO,309,A,Geochemistry,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201715,5,O,Or,,CHEM 102,CHEM,102,UG,D,1,,,,
GEO 309,GEO,309,A,Geochemistry,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201715,2,,,,CHEM 103,CHEM,103,UG,D,1,,,,
GEO 309,GEO,309,A,Geochemistry,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201715,4,O,Or,,CHEM 123,CHEM,123,UG,D,1,,,,
GEO 312,GEO,312,A,Sedimentology and Stratigraphy,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,2,O,Or,,CAEE 212,CAEE,212,UG,D,1,,,,
GEO 312,GEO,312,A,Sedimentology and Stratigraphy,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,1,,,,GEO 101,GEO,101,UG,D,1,,,,
GEO 320,GEO,320,A,Invertebrate Paleontology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201615,1,,,,BIO 124,BIO,124,UG,D,1,,,,
GEO 320,GEO,320,A,Invertebrate Paleontology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201615,2,O,Or,,BIO 141,BIO,141,UG,D,1,,,,
GEO 320,GEO,320,A,Invertebrate Paleontology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201615,4,A,And,,BIO 110,BIO,110,UG,D,1,,),,
GEO 320,GEO,320,A,Invertebrate Paleontology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201615,3,O,Or,(,BIO 109,BIO,109,UG,D,1,,,,
GEO 322,GEO,322,A,Vertebrate Paleontology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201615,4,A,And,,BIO 110,BIO,110,UG,D,1,,),,
GEO 322,GEO,322,A,Vertebrate Paleontology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201615,1,,,,BIO 124,BIO,124,UG,D,1,,,,
GEO 322,GEO,322,A,Vertebrate Paleontology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201615,3,O,Or,(,BIO 109,BIO,109,UG,D,1,,,,
GEO 322,GEO,322,A,Vertebrate Paleontology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201615,2,O,Or,,BIO 141,BIO,141,UG,D,1,,,,
GEO 325,GEO,325,A,Structural Geology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,1,,,,GEO 101,GEO,101,UG,D,1,,,,
GEO 325,GEO,325,A,Structural Geology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,2,O,Or,,CAEE 212,CAEE,212,UG,D,1,,,,
GEO 340,GEO,340,A,Quaternary Geology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,1,,,,GEO 101,GEO,101,UG,D,1,,,,
GEO 340,GEO,340,A,Quaternary Geology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,2,O,Or,,CAEE 212,CAEE,212,UG,D,1,,,,
GEO 342,GEO,342,A,Geomorphology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,2,,,,GEO 101,GEO,101,UG,D,1,,,,
GEO 342,GEO,342,A,Geomorphology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,3,O,Or,,CAEE 212,CAEE,212,UG,D,1,,,,
GEO 346,GEO,346,A,Coastal Geology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,2,,,,GEO 101,GEO,101,UG,D,1,,,,
GEO 346,GEO,346,A,Coastal Geology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,3,O,Or,,CAEE 212,CAEE,212,UG,D,1,,,,
GEO 348,GEO,348,A,Oceanography,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,4,O,Or,,CAEE 212,CAEE,212,UG,D,1,,,,
GEO 348,GEO,348,A,Oceanography,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,2,,,,GEO 101,GEO,101,UG,D,1,,,,
GEO 348,GEO,348,A,Oceanography,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,3,O,Or,,CHEM 101,CHEM,101,UG,D,1,,,,
GEO 350,GEO,350,A,Volcanology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO 401,GEO,401,A,Igneous and Metamorphic Petrology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,6,A,And,,CHEM 102,CHEM,102,UG,D,1,,,,
GEO 401,GEO,401,A,Igneous and Metamorphic Petrology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,5,O,Or,,CAEE 212,CAEE,212,UG,D,1,,),,
GEO 401,GEO,401,A,Igneous and Metamorphic Petrology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,7,A,And,,GEO 215,GEO,215,UG,D,1,,,,
GEO 401,GEO,401,A,Igneous and Metamorphic Petrology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201815,4,,,(,GEO 101,GEO,101,UG,D,1,,,,
GEO 412,GEO,412,A,Geology of Groundwater,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201715,1,,,,CHEM 102,CHEM,102,UG,D,1,,,,
GEO 412,GEO,412,A,Geology of Groundwater,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201715,4,A,And,(,MATH 239,MATH,239,UG,D,1,,,,
GEO 412,GEO,412,A,Geology of Groundwater,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201715,6,O,Or,,MATH 123,MATH,123,UG,D,1,,),,
GEO 418,GEO,418,A,Geophysics,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201715,4,,,(,MATH 239,MATH,239,UG,D,1,,,,
GEO 418,GEO,418,A,Geophysics,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201715,8,A,And,(,PHYS 153,PHYS,153,UG,D,1,,,,
GEO 418,GEO,418,A,Geophysics,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201715,10,O,Or,,PHYS 102,PHYS,102,UG,D,1,,),,
GEO 418,GEO,418,A,Geophysics,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",201715,6,O,Or,,MATH 123,MATH,123,UG,D,1,,),,
GEO 497,GEO,497,A,Research,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO 510,GEO,510,A,Sedimentary Environments,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO 522,GEO,522,A,Vertebrate Paleontology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO 550,GEO,550,A,Volcanology,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO 797,GEO,797,A,Research,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO I199,GEO,I199,A,Independent Study in GEO,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO I299,GEO,I299,A,Independent Study in GEO,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO I399,GEO,I399,A,Independent Study in GEO,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO I499,GEO,I499,A,Independent Study in GEO,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO I599,GEO,I599,A,Independent Study in GEO,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO I699,GEO,I699,A,Independent Study in GEO,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO I799,GEO,I799,A,Independent Study in GEO,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO I899,GEO,I899,A,Independent Study in GEO,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO I999,GEO,I999,A,Independent Study in GEO,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO T180,GEO,T180,A,Special Topics in Geoscience,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO T280,GEO,T280,A,Special Topics in Geoscience,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO T380,GEO,T380,A,Special Topics in Geoscience,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO T480,GEO,T480,A,Special Topics in Geoscience,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO T580,GEO,T580,A,Special Topics in Geoscience,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO T680,GEO,T680,A,Special Topics in Geoscience,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO T780,GEO,T780,A,Special Topics in Geoscience,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO T880,GEO,T880,A,Special Topics in Geoscience,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GEO T980,GEO,T980,A,Special Topics in Geoscience,AS,Arts and Sciences,"Biodiversity,Earth & Envir Sci",,,,,, ,,,,,1,,,,
GER 101,GER,101,A,German I,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
GER 102,GER,102,A,German II,AS,Arts and Sciences,Global Studies & Modern Langs,201415,1,,,,GER 101,GER,101,UG,C,1,,,,
GER 103,GER,103,A,German III,AS,Arts and Sciences,Global Studies & Modern Langs,201415,1,,,,GER 102,GER,102,UG,C,1,,,,
GER 201,GER,201,A,German IV,AS,Arts and Sciences,Global Studies & Modern Langs,201415,1,,,,GER 103,GER,103,UG,C,1,,,,
GER 202,GER,202,A,German V,AS,Arts and Sciences,Global Studies & Modern Langs,201415,1,,,,GER 201,GER,201,UG,C,1,,,,
GER 310,GER,310,A,Advanced Writing and Speaking,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,GER 202,GER,202,UG,C,1,,,,
GER 320,GER,320,A,Introduction to Language for the Professions,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
GER 330,GER,330,A,Introduction to Identities and Communities,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,GER 310,GER,310,UG,C,1,,,,
GER 340,GER,340,A,Introduction to Power and Resistance,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,GER 310,GER,310,UG,C,1,,,,
GER 350,GER,350,A,"Introduction to Language, Media, and Society",AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,GER 310,GER,310,UG,C,1,,,,
GER 410,GER,410,A,Advanced Grammar and Translation,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,GER 310,GER,310,UG,C,1,,,,
GER 410,GER,410,A,Advanced Grammar and Translation,AS,Arts and Sciences,Global Studies & Modern Langs,201615,2,A,And,(,GER 320,GER,320,UG,C,1,,,,
GER 410,GER,410,A,Advanced Grammar and Translation,AS,Arts and Sciences,Global Studies & Modern Langs,201615,4,O,Or,,GER 340,GER,340,UG,C,1,,,,
GER 410,GER,410,A,Advanced Grammar and Translation,AS,Arts and Sciences,Global Studies & Modern Langs,201615,5,O,Or,,GER 350,GER,350,UG,C,1,,),,
GER 410,GER,410,A,Advanced Grammar and Translation,AS,Arts and Sciences,Global Studies & Modern Langs,201615,3,O,Or,,GER 330,GER,330,UG,C,1,,,,
GER 420,GER,420,A,Advanced Studies in Language for the Professions,AS,Arts and Sciences,Global Studies & Modern Langs,201615,5,O,Or,,GER 350,GER,350,UG,C,1,,),,
GER 420,GER,420,A,Advanced Studies in Language for the Professions,AS,Arts and Sciences,Global Studies & Modern Langs,201615,2,A,And,(,GER 320,GER,320,UG,C,1,,,,
GER 420,GER,420,A,Advanced Studies in Language for the Professions,AS,Arts and Sciences,Global Studies & Modern Langs,201615,3,O,Or,,GER 330,GER,330,UG,C,1,,,,
GER 420,GER,420,A,Advanced Studies in Language for the Professions,AS,Arts and Sciences,Global Studies & Modern Langs,201615,4,O,Or,,GER 340,GER,340,UG,C,1,,,,
GER 420,GER,420,A,Advanced Studies in Language for the Professions,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,GER 310,GER,310,UG,C,1,,,,
GER 430,GER,430,A,Advanced Studies in Identities and Communities,AS,Arts and Sciences,Global Studies & Modern Langs,201615,5,O,Or,,GER 350,GER,350,UG,C,1,,),,
GER 430,GER,430,A,Advanced Studies in Identities and Communities,AS,Arts and Sciences,Global Studies & Modern Langs,201615,3,O,Or,,GER 330,GER,330,UG,C,1,,,,
GER 430,GER,430,A,Advanced Studies in Identities and Communities,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,GER 310,GER,310,UG,C,1,,,,
GER 430,GER,430,A,Advanced Studies in Identities and Communities,AS,Arts and Sciences,Global Studies & Modern Langs,201615,4,O,Or,,GER 340,GER,340,UG,C,1,,,,
GER 430,GER,430,A,Advanced Studies in Identities and Communities,AS,Arts and Sciences,Global Studies & Modern Langs,201615,2,A,And,(,GER 320,GER,320,UG,C,1,,,,
GER 440,GER,440,A,Advanced Studies in Power and Resistance,AS,Arts and Sciences,Global Studies & Modern Langs,201615,4,O,Or,,GER 340,GER,340,UG,C,1,,,,
GER 440,GER,440,A,Advanced Studies in Power and Resistance,AS,Arts and Sciences,Global Studies & Modern Langs,201615,3,O,Or,,GER 330,GER,330,UG,C,1,,,,
GER 440,GER,440,A,Advanced Studies in Power and Resistance,AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,GER 310,GER,310,UG,C,1,,,,
GER 440,GER,440,A,Advanced Studies in Power and Resistance,AS,Arts and Sciences,Global Studies & Modern Langs,201615,5,O,Or,,GER 350,GER,350,UG,C,1,,),,
GER 440,GER,440,A,Advanced Studies in Power and Resistance,AS,Arts and Sciences,Global Studies & Modern Langs,201615,2,A,And,(,GER 320,GER,320,UG,C,1,,,,
GER 450,GER,450,A,"Advanced Studies in Language, Media, and Society",AS,Arts and Sciences,Global Studies & Modern Langs,201615,4,O,Or,,GER 340,GER,340,UG,C,1,,,,
GER 450,GER,450,A,"Advanced Studies in Language, Media, and Society",AS,Arts and Sciences,Global Studies & Modern Langs,201615,3,O,Or,,GER 330,GER,330,UG,C,1,,,,
GER 450,GER,450,A,"Advanced Studies in Language, Media, and Society",AS,Arts and Sciences,Global Studies & Modern Langs,201615,2,A,And,(,GER 320,GER,320,UG,C,1,,,,
GER 450,GER,450,A,"Advanced Studies in Language, Media, and Society",AS,Arts and Sciences,Global Studies & Modern Langs,201615,1,,,,GER 310,GER,310,UG,C,1,,,,
GER 450,GER,450,A,"Advanced Studies in Language, Media, and Society",AS,Arts and Sciences,Global Studies & Modern Langs,201615,5,O,Or,,GER 350,GER,350,UG,C,1,,),,
GER 480,GER,480,A,German Minor Thesis Course,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
GER I199,GER,I199,A,Independent Study in GER,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
GER I299,GER,I299,A,Independent Study in GER,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
GER I399,GER,I399,A,Independent Study in GER,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
GER I499,GER,I499,A,Independent Study in GER,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
GER T180,GER,T180,A,Special Topics in German,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
GER T280,GER,T280,A,Special Topics in Germany,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
GER T380,GER,T380,A,Special Topics in German,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
GER T480,GER,T480,A,Special Topics in German,AS,Arts and Sciences,Global Studies & Modern Langs,,,,,, ,,,,,1,,,,
GES 201,GES,201,A,Global Engagement Scholar Colloquium,X,Miscellaneous,International Programs,,,,,, ,,,,,1,,,,
GES 401,GES,401,A,Global Engagement Scholar Program Portfolio,X,Miscellaneous,International Programs,,,,,, ,,,,,1,,,,
GMAP 101,GMAP,101,A,Game Design Lab I,A,Antoinette Westphal COMAD,Digital Media,,,,,, ,,,,,1,,,,
GMAP 102,GMAP,102,A,Game Design Lab II,A,Antoinette Westphal COMAD,Digital Media,201915,,,,, ,,,,,1,,,,
GMAP 231,GMAP,231,A,Scripting for Game Design,A,Antoinette Westphal COMAD,Digital Media,201815,1,,,,CS 140,CS,140,UG,D,1,,,,
GMAP 231,GMAP,231,A,Scripting for Game Design,A,Antoinette Westphal COMAD,Digital Media,201815,2,O,Or,,CS 171,CS,171,UG,D,1,,,,
GMAP 260,GMAP,260,A,Overview of Computer Gaming,A,Antoinette Westphal COMAD,Digital Media,,,,,, ,,,,,1,,,,
GMAP 345,GMAP,345,A,Game Development Foundations,A,Antoinette Westphal COMAD,Digital Media,201915,10,O,Or,,GMAP 260,GMAP,260,UG,D,1,,),,
GMAP 345,GMAP,345,A,Game Development Foundations,A,Antoinette Westphal COMAD,Digital Media,201915,8,A,And,(,DIGM 260,DIGM,260,UG,D,1,,,,
GMAP 345,GMAP,345,A,Game Development Foundations,A,Antoinette Westphal COMAD,Digital Media,201915,5,O,Or,,ANIM 145,ANIM,145,UG,D,1,,,,
